label,team_name,expected_points_xg,win_probability_xg,draw_probability_xg,loss_probability_xg,expected_points_xa,win_probability_xa,draw_probability_xa,loss_probability_xa,expected_points,win_probability,draw_probability,loss_probability
AaB vs Horsens 2023-07-29,Horsens,0.0655,0.0096,0.0367,0.9537,0.3162,0.0573,0.1443,0.7984,0.19085,0.03345,0.09050000000000001,0.87605
B 93 vs Horsens 2024-03-16,Horsens,1.2585,0.3151,0.3132,0.3717,1.6792,0.3826,0.5314,0.086,1.46885,0.34885,0.4223,0.22885
B 93 vs Horsens 2024-04-26,Horsens,2.4275,0.741,0.2045,0.0545,1.5081,0.3168,0.5577,0.1255,1.9678,0.5289,0.3811,0.09
Fredericia vs Horsens 2023-08-22,Horsens,0.9338,0.2369,0.2231,0.54,1.6664,0.4592,0.2888,0.252,1.3001,0.34804999999999997,0.25595,0.396
HB Køge vs Horsens 2023-11-03,Horsens,1.079,0.2694,0.2708,0.4598,0.8319,0.1883,0.267,0.5447,0.9554499999999999,0.22885,0.26890000000000003,0.50225
HB Køge vs Horsens 2024-04-01,Horsens,1.2747,0.3315,0.2802,0.3883,1.6872,0.47,0.2772,0.2528,1.48095,0.40075,0.2787,0.32055
Helsingør vs Horsens 2023-11-24,Horsens,1.9672,0.5536,0.3064,0.14,1.3725,0.3241,0.4002,0.2757,1.66985,0.43884999999999996,0.3533,0.20785
Helsingør vs Horsens 2024-05-05,Horsens,1.9403,0.562,0.2543,0.1837,1.3155,0.3502,0.2649,0.3849,1.6279,0.45610000000000006,0.25960000000000005,0.2843
Hillerød vs Horsens 2023-09-29,Horsens,1.3173,0.3295,0.3288,0.3417,1.4423,0.366,0.3443,0.2897,1.3798,0.34775,0.33655,0.3157
Hobro vs Horsens 2023-09-15,Horsens,2.4671,0.7618,0.1817,0.0565,1.6268,0.4337,0.3257,0.2406,2.04695,0.59775,0.2537,0.14855000000000002
Horsens vs AaB 2023-10-06,Horsens,0.3126,0.0643,0.1197,0.816,0.7524,0.189,0.1854,0.6256,0.5325,0.12664999999999998,0.15255000000000002,0.7208
Horsens vs B 93 2023-09-01,Horsens,1.4134,0.364,0.3214,0.3146,0.9576,0.1892,0.39,0.4208,1.1855,0.2766,0.3557,0.3677
Horsens vs B 93 2024-05-18,Horsens,0.9673,0.2416,0.2425,0.5159,1.298,0.3345,0.2945,0.371,1.13265,0.28805000000000003,0.26849999999999996,0.44345
Horsens vs Fredericia 2023-11-10,Horsens,2.0348,0.5954,0.2486,0.156,0.8319,0.1829,0.2832,0.5339,1.4333500000000001,0.38915,0.2659,0.34495000000000003
Horsens vs HB Køge 2023-08-04,Horsens,2.4909,0.7691,0.1836,0.0473,2.0619,0.5965,0.2724,0.1311,2.2763999999999998,0.6828000000000001,0.22799999999999998,0.0892
Horsens vs Helsingør 2023-08-18,Horsens,1.7228,0.4994,0.2246,0.276,0.5557,0.1093,0.2278,0.6629,1.13925,0.30435,0.2262,0.46945000000000003
Horsens vs Helsingør 2024-04-19,Horsens,1.4926,0.3448,0.4582,0.197,1.2544,0.289,0.3874,0.3236,1.3735,0.31689999999999996,0.4228,0.2603
Horsens vs Hillerød 2023-10-27,Horsens,0.1997,0.0371,0.0884,0.8745,0.5795,0.1272,0.1979,0.6749,0.3896,0.08215,0.14315,0.7747
Horsens vs Hillerød 2024-04-05,Horsens,0.8759,0.1963,0.287,0.5167,0.5823,0.0955,0.2958,0.6087,0.7291000000000001,0.1459,0.2914,0.5627
Horsens vs Kolding 2024-02-23,Horsens,0.1667,0.0204,0.1055,0.8741,0.692,0.1492,0.2444,0.6064,0.42934999999999995,0.0848,0.17495,0.7402500000000001
Horsens vs Næstved 2023-08-25,Horsens,2.4208,0.7498,0.1714,0.0788,1.872,0.5133,0.3321,0.1546,2.1464,0.6315500000000001,0.25175000000000003,0.1167
Horsens vs Næstved 2024-05-10,Horsens,1.9518,0.5656,0.255,0.1794,0.8198,0.1502,0.3692,0.4806,1.3858,0.3579,0.3121,0.33
Horsens vs SønderjyskE 2024-03-09,Horsens,0.0235,0.0014,0.0193,0.9793,0.4548,0.0745,0.2313,0.6942,0.23915,0.03795,0.1253,0.83675
Horsens vs Vendsyssel 2023-09-23,Horsens,2.282,0.7017,0.1769,0.1214,1.2318,0.3262,0.2532,0.4206,1.7569,0.51395,0.21505,0.27099999999999996
Kolding vs Horsens 2023-07-23,Horsens,1.0033,0.2321,0.307,0.4609,0.669,0.1377,0.2559,0.6064,0.8361500000000001,0.1849,0.28145,0.53365
Næstved vs Horsens 2024-03-03,Horsens,1.688,0.4804,0.2468,0.2728,2.5027,0.7844,0.1495,0.0661,2.09535,0.6324,0.19815,0.16945
Næstved vs Horsens 2024-04-12,Horsens,0.3293,0.0546,0.1655,0.7799,0.6443,0.1283,0.2594,0.6123,0.4868,0.09145,0.21245000000000003,0.6960999999999999
SønderjyskE vs Horsens 2023-08-12,Horsens,0.0368,0.0049,0.0221,0.973,0.2714,0.0516,0.1166,0.8318,0.1541,0.02825,0.06935,0.9024
Vendsyssel vs Horsens 2023-10-19,Horsens,0.7035,0.1368,0.2931,0.5701,0.7336,0.1511,0.2803,0.5686,0.71855,0.14395000000000002,0.2867,0.56935
